регистрационный_номер;год;период;решений_об_осуществлении_и_отказе;отказов_по_статье_27;решений_об_устранении_ошибок;решений_о_приостановлении
29102;2024;12;0;0;0;0
29102;2025;3;0;0;0;0
29102;2025;6;0;0;0;0
29102;2025;9;0;0;0;0
29102;2025;12;0;0;0;0
29102;2026;3;0;0;0;0
38281;2016;6;0;0;0;0
38281;2016;9;1;0;0;0
38281;2016;12;7;0;0;0
38281;2017;3;1;0;0;0
38281;2017;6;15;0;0;0
38281;2017;9;36;0;0;0
38281;2017;12;36;0;0;0
38281;2018;3;0;0;0;0
38281;2018;6;0;0;0;0
38281;2018;9;0;0;0;0
38281;2018;12;0;0;0;0
38281;2019;3;0;0;0;0
38281;2019;6;0;0;0;0
38281;2019;9;0;0;0;0
38281;2019;12;0;0;0;0
38281;2020;3;0;0;0;0
38281;2020;6;0;0;0;0
38281;2020;9;0;0;0;0
38281;2020;12;0;0;0;0
38281;2021;3;33;0;0;11
38281;2021;6;111;0;0;13
38281;2021;9;151;0;0;19
38281;2021;12;221;0;0;21
38281;2022;3;38;0;0;1
38281;2022;6;106;0;0;2
38281;2022;9;175;0;0;3
38281;2022;12;243;0;0;3
38281;2023;3;60;0;0;0
38281;2023;6;143;0;0;0
38281;2023;9;224;0;0;0
38281;2023;12;325;0;0;0
38281;2024;3;74;0;0;0
38281;2024;6;145;0;0;0
38281;2024;9;177;0;0;0
38281;2024;12;310;0;0;1
38281;2025;3;57;0;0;0
38281;2025;6;150;0;0;0
38281;2025;9;239;0;0;3
38281;2025;12;358;0;0;3
38281;2026;3;119;0;0;0
7473;2014;9;77;2;0;0
7473;2014;12;93;3;0;0
7473;2015;3;13;0;0;0
7473;2015;6;21;0;0;0
7473;2015;9;37;0;0;0
7473;2015;12;60;0;0;0
7473;2016;3;22;0;0;0
7473;2016;6;39;0;0;0
7473;2016;9;59;0;0;0
7473;2016;12;82;0;0;0
7473;2017;3;4;0;0;0
7473;2017;6;18;0;0;0
7473;2017;9;39;0;0;0
7473;2017;12;39;0;0;0
7473;2018;3;0;0;0;0
7473;2018;6;0;0;0;0
7473;2018;9;0;0;0;0
7473;2018;12;0;0;0;0
7473;2019;3;0;0;0;0
7473;2019;6;0;0;0;0
7473;2019;9;0;0;0;0
7473;2019;12;0;0;0;0
7473;2020;3;0;0;0;0
7473;2020;6;0;0;0;0
7473;2020;9;0;0;0;0
7473;2020;12;0;0;0;0
7473;2021;3;9;0;0;4
7473;2021;6;17;0;0;10
7473;2021;9;31;0;0;14
7473;2021;12;45;0;0;15
7473;2022;3;11;0;0;1
7473;2022;6;28;0;0;3
7473;2022;9;39;0;0;5
7473;2022;12;53;0;0;5
7473;2023;3;19;0;0;0
7473;2023;6;32;0;0;0
7473;2023;9;57;0;0;0
7473;2023;12;68;0;0;0
7473;2024;3;5;0;0;0
7473;2024;6;14;0;0;0
7473;2024;9;26;0;0;0
7473;2024;12;53;0;0;0
7473;2025;3;20;0;0;0
7473;2025;6;50;0;0;0
7473;2025;9;72;0;0;0
7473;2025;12;92;0;0;0
7473;2026;3;20;0;0;0
23295;2014;9;0;0;0;0
23295;2014;12;0;0;0;0
23295;2015;3;0;0;0;0
23295;2015;6;0;0;0;0
23295;2015;9;0;0;0;0
23295;2015;12;0;0;0;0
23295;2016;3;0;0;0;0
23295;2016;6;1;0;0;0
23295;2016;9;5;1;0;0
23295;2016;12;5;1;0;0
23295;2017;3;0;0;0;0
23295;2017;6;0;0;0;0
23295;2017;9;0;0;0;0
23295;2017;12;0;0;0;0
23295;2018;3;0;0;0;0
23295;2018;6;0;0;0;0
23295;2018;9;0;0;0;0
23295;2018;12;0;0;0;0
23295;2019;3;0;0;0;0
23295;2019;6;0;0;0;0
23295;2019;9;0;0;0;0
23295;2019;12;0;0;0;0
23295;2020;3;0;0;0;0
23295;2020;6;0;0;0;0
23295;2020;9;0;0;0;0
23295;2020;12;97;0;0;13
23295;2021;3;55;0;0;3
23295;2021;6;97;0;0;6
23295;2021;9;127;0;0;7
23295;2021;12;143;0;0;9
23295;2022;3;13;0;0;0
23295;2022;6;25;0;0;0
23295;2022;9;36;0;0;0
23295;2022;12;59;0;0;0
23295;2023;3;0;0;0;0
23295;2023;6;13;0;0;0
23295;2023;9;23;0;0;0
23295;2023;12;26;0;0;0
23295;2024;3;0;0;0;0
23295;2024;6;4;0;0;0
23295;2024;9;8;0;0;0
23295;2024;12;18;0;0;0
23295;2025;3;1;0;0;0
23295;2025;6;1;0;0;0
23295;2025;9;1;0;0;0
23295;2025;12;2;0;0;0
23295;2026;3;0;0;0;0
3012;2014;9;0;0;0;0
3012;2014;12;0;0;0;0
3012;2015;3;0;0;0;0
3012;2015;6;0;0;0;0
3012;2015;9;0;0;0;0
3012;2015;12;0;0;0;0
3012;2016;3;0;0;0;0
3012;2016;6;0;0;0;0
3012;2016;9;0;0;0;0
3012;2016;12;0;0;0;0
3012;2017;3;0;0;0;0
3012;2017;6;0;0;0;0
3012;2017;9;0;0;0;0
3012;2017;12;0;0;0;0
3012;2018;3;0;0;0;0
3012;2018;6;0;0;0;0
3012;2018;9;0;0;0;0
3012;2018;12;0;0;0;0
3012;2019;3;0;0;0;0
3012;2019;6;0;0;0;0
3012;2019;9;0;0;0;0
3012;2019;12;0;0;0;0
3012;2020;3;0;0;0;0
3012;2020;6;0;0;0;0
3012;2020;9;0;0;0;0
3012;2020;12;0;0;0;0
3012;2021;3;0;0;0;0
3012;2021;6;0;0;0;0
3012;2021;9;0;0;0;0
3012;2021;12;0;0;0;0
3012;2022;3;0;0;0;0
3012;2022;6;0;0;0;0
3012;2022;9;0;0;0;0
3012;2022;12;0;0;0;0
3012;2023;3;0;0;0;0
3012;2023;6;0;0;0;0
3012;2023;9;0;0;0;0
3012;2023;12;0;0;0;0
3012;2024;9;0;0;0;0
3012;2024;12;0;0;0;0
3012;2025;3;0;0;0;0
3012;2025;6;0;0;0;0
3012;2025;9;0;0;0;0
3012;2025;12;0;0;0;0
3012;2026;3;0;0;0;0
6940;2014;9;355;2;0;0
6940;2014;12;517;8;0;0
6940;2015;3;124;3;0;0
6940;2015;6;317;7;0;0
6940;2015;9;440;15;0;0
6940;2015;12;568;19;0;0
6940;2016;3;111;4;0;0
6940;2016;6;232;5;0;0
6940;2016;9;321;5;0;0
6940;2016;12;425;5;0;0
6940;2017;3;51;0;0;0
6940;2017;6;142;0;0;0
6940;2017;9;260;0;0;0
6940;2017;12;474;0;0;0
6940;2018;3;141;0;0;0
6940;2018;6;313;0;0;0
6940;2018;9;352;1;0;0
6940;2018;12;352;1;0;0
6940;2019;3;0;0;0;0
6940;2019;6;0;0;0;0
6940;2019;9;0;0;0;0
6940;2019;12;0;0;0;0
6940;2020;3;0;0;0;0
6940;2020;6;0;0;0;0
6940;2020;9;0;0;0;0
6940;2020;12;3;0;0;1
6940;2021;3;24;0;0;2
6940;2021;6;66;0;0;7
6940;2021;9;134;0;0;9
6940;2021;12;225;0;0;14
6940;2022;3;46;0;0;1
6940;2022;6;125;0;0;2
6940;2022;9;194;0;0;2
6940;2022;12;273;0;0;2
6940;2023;3;57;0;0;1
6940;2023;6;112;0;0;1
6940;2023;9;203;0;0;1
6940;2023;12;270;0;0;1
6940;2024;3;38;1;0;0
6940;2024;6;119;1;0;0
6940;2024;9;173;1;0;0
6940;2024;12;276;1;0;0
6940;2025;3;72;0;0;0
6940;2025;6;130;0;0;0
6940;2025;9;204;0;0;0
6940;2025;12;293;0;0;0
6940;2026;3;36;0;0;0
36104;2016;3;0;0;0;0
36104;2016;6;4;0;0;0
36104;2016;9;24;0;0;0
36104;2016;12;52;0;0;0
36104;2017;3;2;0;0;0
36104;2017;6;2;0;0;0
36104;2017;9;2;0;0;0
36104;2017;12;11;0;0;0
36104;2018;3;16;0;0;0
36104;2018;6;16;0;0;0
36104;2018;9;16;0;0;0
36104;2018;12;16;0;0;0
36104;2019;3;0;0;0;7
36104;2019;6;0;0;0;14
36104;2019;9;0;0;0;18
36104;2019;12;0;0;0;23
36104;2020;3;0;0;0;3
36104;2020;6;0;0;0;6
36104;2020;9;16;0;0;11
36104;2020;12;62;0;0;16
36104;2021;3;25;0;0;6
36104;2021;6;71;0;0;9
36104;2021;9;120;0;0;9
36104;2021;12;172;0;0;10
36104;2022;3;19;1;0;0
36104;2022;6;54;1;0;0
36104;2022;9;111;1;0;0
36104;2022;12;187;1;0;2
36104;2023;3;32;0;0;0
36104;2023;6;83;0;0;0
36104;2023;9;134;0;0;0
36104;2023;12;190;0;0;0
36104;2024;3;29;0;0;0
36104;2024;6;77;0;0;0
36104;2024;9;108;0;0;0
36104;2024;12;159;0;0;0
36104;2025;3;16;0;0;0
36104;2025;6;57;0;0;0
36104;2025;9;100;0;0;0
36104;2025;12;146;0;0;0
36104;2026;3;21;0;0;0
6486;2014;9;147;1;0;0
6486;2014;12;164;1;0;0
6486;2015;3;33;2;0;0
6486;2015;6;58;9;0;0
6486;2015;9;89;10;0;0
6486;2015;12;126;17;0;0
6486;2016;3;25;4;0;0
6486;2016;6;49;5;0;0
6486;2016;9;116;6;0;0
6486;2016;12;133;6;0;0
6486;2017;3;25;0;0;0
6486;2017;6;54;0;0;0
6486;2017;9;98;0;0;0
6486;2017;12;133;0;0;0
6486;2018;3;54;4;0;0
6486;2018;6;108;7;0;0
6486;2018;9;138;7;0;0
6486;2018;12;166;7;0;0
6486;2019;3;49;0;0;4
6486;2019;6;72;0;0;4
6486;2019;9;79;0;0;5
6486;2019;12;94;0;0;7
6486;2020;3;8;0;0;4
6486;2020;6;22;0;0;5
6486;2020;9;33;0;0;8
6486;2020;12;41;0;0;8
6486;2021;3;4;0;0;0
6486;2021;6;10;0;0;0
6486;2021;9;19;0;0;1
6486;2021;12;28;0;0;1
6486;2022;3;31;0;0;0
6486;2022;6;40;0;0;0
6486;2022;9;49;0;0;1
6486;2022;12;60;0;0;2
6486;2023;3;1;0;0;0
6486;2023;6;6;0;0;0
6486;2023;9;13;0;0;0
6486;2023;12;17;0;0;0
6486;2024;3;1;0;0;0
6486;2024;6;7;0;0;0
6486;2024;9;10;0;0;1
6486;2024;12;19;0;0;1
6486;2025;3;3;0;0;0
6486;2025;6;7;0;0;1
6486;2025;9;18;0;0;1
6486;2025;12;18;0;0;1
6486;2026;3;0;0;0;0
39448;2019;9;0;0;0;0
39448;2019;12;0;0;0;0
39448;2020;3;0;0;0;0
39448;2020;6;0;0;0;0
39448;2020;9;0;0;0;0
39448;2020;12;0;0;0;0
39448;2021;3;5;0;0;1
39448;2021;6;17;0;0;4
39448;2021;9;17;0;0;4
39448;2021;12;18;0;0;4
39448;2022;3;22;0;0;1
39448;2022;6;51;0;0;1
39448;2022;12;132;0;0;4
39448;2023;3;18;0;0;0
39448;2023;6;45;0;0;0
39448;2023;9;83;0;0;0
39448;2023;12;113;0;0;0
39448;2024;3;16;0;0;0
39448;2024;6;48;0;0;0
39448;2024;9;91;0;0;0
39448;2024;12;117;0;0;0
